0,3,3,39
0,0,4,28
200,2,2,43
0,0,0,1
200,4,5,34
400,4,2,47
0,0,0,2
500,2,2,46
200,1,1,46
0,1,1,25
800,2,3,40
100,2,1,75
0,1,0,31
800,4,4,66
100,0,1,16
0,0,0,13
1400,17,15,96
1300,7,9,75
0,0,1,19
0,0,1,19
0,0,0,19
200,0,0,43
200,1,3,49
1200,8,20,110
0,1,0,15
900,5,6,52
700,2,1,37
100,1,1,18
0,0,0,25
100,0,3,42
0,0,0,5
0,0,0,2
0,0,0,1
0,0,0,2
0,0,0,1
0,0,0,1
100,0,0,10
0,0,0,2
400,0,1,22
0,0,0,1
0,0,0,2
0,0,0,2
0,0,0,1
0,0,0,2
0,0,0,2
0,0,0,3
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,1
300,5,6,38
0,0,0,1
0,0,0,1
0,0,1,5
0,0,0,1
0,0,0,2
600,5,7,70
0,0,0,1
0,0,0,2
0,0,0,2
0,0,0,12
0,0,0,25
200,6,4,37
0,0,1,31
0,1,0,19
0,1,0,4
0,0,0,13
0,0,1,13
0,1,0,19
0,0,0,1
0,0,0,8
0,0,1,17
0,0,0,10
100,1,0,24
